1,Windmill,Workouts/pushmed/windmill_kuj6oq,Stand shoulder width apart and hold the kettlebell high in the air with one hand. Then lean down the opposite side to the kettlebell and touch the corresponding toes with your empty hand. Keeping a straight back.
2,Overhead Warm Up ,Workouts/pushmed/overheadwarmup_jwydfs,"Stand shoulder width apart and hold the kettlebell high in the air with one hand. Then take one leg back and kneel and do the same with the other, then stand back up, keeping the body straight."
3,Half Kneeling Press,Workouts/pushmed/halfkneelingpress_vn1jco,"Kneel on the floor with one knee and hold the kettlebell in one hand in the racked position. push the kettlebell high about the head and lower back down, switching sides between reps."
4,Push Press,Workouts/pushmed/pushpress_lhxyoa,"Standing shoulder width apart, hold the kettlebell in the racked position with one hand, push the kettlebell above the head using your legs and the driving force and lower back down, Switching between reps."
5,Clean and press,Workouts/pushmed/cleanandpress_g60afg,"Standing shoulder width apart, bend your knees and pick up the kettlebell with one hand and hoist it into the chest then straight above the head, lowering back down to the floor. Switching between reps. "
6,Clean and push Press,Workouts/pushmed/cleanandpushpress_itqkoi,"Standing shoulder width apart, bend your knees and pick up the kettlebell with one hand using your legs to hoist it into the chest then straight above the head, lowering back down to the floor. Switching between reps."
7,Double Hand Push Press,Workouts/pushmed/doublehandpushpress_e0xzpa,"Standing shoulder width apart, hold the kettlebell weight bold hands in the chest, push the kettlebell above the head using your legs and the driving force and lower back down."
8,Thrusters,Workouts/pushmed/thrusters_cox20a,"Hold the kettlebell with both hands, then squat down and push the kettlebell above your head, Switching between reps."
9,"Clean, Squat and Press",Workouts/pushmed/cleansquatandpress_qm3xba,"Holding the kettlebell in the racked position, lower down to a squat and push up using your legs to push the kettlebell above your head, Switching between reps."
10,Sit and Press,Workouts/pushmed/sitandpress_x7w2te,Lie on your back with the kettlebell in your chest and legs out long. bend at the hips to sit up and then push the kettlebell up above your head.
11,Push Ups,Workouts/pushmed/pushup_beah32,"Starting in a plank position, lower yourself down to the ground then back up."
12,Chest press,Workouts/pushmed/chestpress_xijfrb,Lie on your back holding the kettlebell with both hands in your chest. push the kettlebell up to the sky and back down to your chest. 
13,Lateral Raises ,Workouts/pushmed/lateralraises_soiokw,"Hold the kettlebell with one hand and have your feet hip width apart, slowly raise your arms out to shoulder height then lower back down slowly, Switching between reps."
14,Front Raises,Workouts/pushmed/frontraises_et8ajp,"Hold the kettlebell with one hand and have your feet hip width apart, slowly raise your arms in front to shoulder height then lower back down slowly, Switching between reps."
15,Tricep Dips,Workouts/pushmed/tricepdips_wans6l,"Using a chair, sit on the chair and pull yourself forward until your thighs are parallel to the floor then dip down to the floor and back up."
