1,Regular Row ,Workouts/pullmed/regularrow_o46rxe,"legs shoulder width apart and lean forward keeping a flat back. lifting the kettlebell into the chest with one hand from between the legs, switch between reps"
2,Suitcase Row Exercise,Workouts/pullmed/suitcaserow_uzelyf,"legs together and lean forward keeping a flat back. lifting the kettlebell into the chest with one hand from outside of the legs, switch between reps"
3,Clean,Workouts/pullmed/clean_lehi4q,"Standing shoulder width apart, the kettlebell between your legs and bend at the knees to hoist the kettlebell into the rack position with one hand. Switch between reps."
4,High Pulls,Workouts/pullmed/highpull_jkvp8i,"Holding the kettlebell with one hand, swing it through the legs like a swing and as the kettlebell comes up, when it's horizontal with your head, pull it back to the chest and repeat. Switching between reps."
5,Snatch,Workouts/pullmed/snatch_lsuf8z,"Start with the kettlebell above your head in one hand and then lower in down, letting it pass between your legs and then use your hips to create force to drive the kettlebell back up above your head."
6,Straight Arm Sit ,Workouts/pullmed/straightarmsit_tpantf,"Lie on your back with the kettlebell high up with one hand, then pull yourself up into a seat, then lower yourself back down with the kettlebell high above your head."
7,one Legged Clean ,Workouts/pullmed/oneleggedclean_vftv1c,Stand on one leg with the kettlebell in the opposite hand in the rack position. then slowly lower the kettlebell down to the floor bending at the hips and return to the racked position.
8,Single Leg Row ,Workouts/pullmed/singlelegrow_ugu6ag,"Stand on one leg with the kettlebell in the opposite hand, keeping your balance, pull the kettlebell into your chest and lowering back to the mat. "
9,Half Get Up ,Workouts/pullmed/halfgetup_we97wz,"Lie on your back with the kettlebell high up with one hand, then pull yourself up, pushing the kettlebell into the sky, using your other hand to stabilize and help , then lower yourself back down onto your back."
10,Upright Row,Workouts/pullmed/uprightrow_aeizh9,Stand hip width apart and grab the kettlebell with both hands with the back of the hand facing away. pull the kettlebell up to your chin and lower back down.
11,Gorilla Curls,Workouts/pullmed/gorillacurls_atq38s,"Stand shoulder width apart, bending at the hips, then pull the kettlebell into the chest, like how a gorilla bangs his chest, place back on the mat and switch sides."
12,Pull Across,Workouts/pullmed/pullacross_yd2es2,"Hold in a plank position with the kettlebell,just behind one hand then take your opposite hand to grab the kettlebell and pull it across to the other side."
13,Bicep Curls ,Workouts/pullmed/bicepcurls_re9wtd,"Hold the kettlebell with both hands, pull the kettlebell up from your thighs to your chest."
14,Tricep Extensions,Workouts/pullmed/tricepextensions_xq08tt,"Grab the kettlebell with both hands and hold it high over your head. Then bending your elbows to lower the kettlebell behind your head, then returning back above your head."
15,Skull Crushers,Workouts/pullmed/skullcrushers_fcdfdu,"Grab the kettlebell handle with both hands and lie on your back. then keeping your arms straight above your chest, take the kettlebell over your head bending at the elbows, hold the tension and then return to your chest."
